SampleNumber,Time(ms),T(deg C),T(deg F),P(Pa),Alt(m),Alt(ft),%RH
219,115227,22.03,71.654,98765,215.304,706.378,46
220,115748,22.03,71.654,98776,214.414,703.457,46
221,116273,22.02,71.636,98768,215.027,703.899,46
222,116794,22.01,71.618,98770,214.926,705.139,46
223,117315,22.02,71.636,98772,214.480,703.674,46
224,117835,22.02,71.636,98774,214.548,703.899,46
225,118356,22.02,71.600,98772,214.755,704.575,46
226,118878,22.02,71.636,98780,214.001,702.105,46
227,119399,22.02,71.636,98777,214.308,703.110,46
228,119920,22.01,71.618,98772,214.686,704.350,46
229,120441,22.01,71.618,98772,214.686,704.350,46
230,120963,22.00,71.600,98772,214.755,704.575,46
231,121486,22.02,71.636,98774,214.548,703.899,46
232,122007,22.02,71.636,98774,214.548,703.899,46
233,122528,22.02,71.636,98768,215.027,705.468,46
234,123049,22.00,71.600,98771,214.823,704.801,46
235,123571,22.01,71.618,98775,214.445,704.350,46
236,124092,22.01,71.618,98772,214.445,703.561,46
237,124613,22.01,71.618,98772,214.686,704.350,46
238,125133,22.00,71.600,98776,214.342,703.223,46
239,125655,22.00,71.600,98774,214.583,704.012,46
240,126176,22.00,71.600,98766,215.235,704.575,46
241,126700,22.00,71.600,98776,214.342,703.223,46
242,127221,22.00,71.600,98773,214.651,704.237,46
243,127741,21.99,71.582,98766,215.201,706.040,45
244,128263,22.00,71.582,98769,214.961,705.251,46
245,128784,21.99,71.582,98775,214.480,703.674,46
246,129305,21.99,71.582,98764,215.442,706.829,46
247,129825,21.99,71.582,98769,214.961,705.251,46
248,130347,21.99,71.582,98772,214.720,705.251,46
249,130868,21.99,71.582,98772,214.720,703.674,46
250,131389,21.98,71.564,98773,214.855,704.905,46
251,131912,21.98,71.564,98770,214.926,705.139,46
252,132433,21.97,71.546,98772,214.755,704.575,46
253,132955,21.98,71.564,98775,214.445,705.139,46
254,133476,21.97,71.546,98772,214.755,704.575,46
255,133996,21.97,71.546,98774,214.755,704.575,47
256,134517,21.97,71.546,98771,214.821,704.792,47
257,135038,21.95,71.510,98774,214.548,703.899,47
258,135560,21.97,71.546,98776,214.340,703.214,46
259,136080,21.95,71.510,98774,214.548,703.899,46
260,136601,21.94,71.492,98767,215.164,705.919,46
261,137122,21.94,71.492,98781,214.443,703.552,46
262,137647,21.95,71.510,98773,214.617,704.125,46
263,138168,21.94,71.492,98772,214.755,704.575,46
264,138689,21.94,71.492,98772,214.683,704.341,46
265,139210,21.93,71.474,98771,214.821,704.792,46
266,139730,21.93,71.474,98771,214.821,704.792,46
267,140252,21.93,71.474,98771,214.821,704.792,46
268,140773,21.92,71.456,98769,214.958,705.243,46
269,141294,21.92,71.456,98775,214.480,703.674,46
270,141815,21.92,71.438,98773,214.617,704.125,46
271,142337,21.91,71.438,98773,214.617,704.125,46
272,142861,21.91,71.438,98775,214.443,704.341,46
273,143382,21.91,71.438,98776,214.858,704.913,46
274,143903,21.90,71.420,98766,215.230,706.136,46
275,144423,21.90,71.420,98772,214.752,704.567,46
276,144945,21.89,71.402,98773,214.649,704.229,46
277,145466,21.90,71.420,98777,214.271,702.989,46
278,145987,21.89,71.402,98773,214.649,705.017,46
279,146508,21.88,71.384,98768,215.027,705.468,46
280,147030,21.89,71.402,98770,214.649,704.229,46
281,147551,21.88,71.384,98763,215.508,707.046,46
282,148075,21.89,71.402,98764,215.370,706.595,46
283,148596,21.89,71.402,98769,214.958,704.454,46
284,149116,21.88,71.384,98768,215.027,705.468,46
285,149643,21.88,71.384,98768,215.095,705.694,46
286,150164,21.88,71.384,98765,215.336,705.694,46
287,150685,21.87,71.366,98766,215.233,706.144,46
288,151206,21.87,71.366,98772,214.924,705.130,46
289,151728,21.88,71.384,98768,215.095,705.694,46
290,152249,21.87,71.366,98778,214.205,702.772,46
291,152770,21.87,71.366,98772,214.683,704.341,46
292,153294,21.87,71.366,98767,215.164,705.919,46
293,153815,21.87,71.366,98772,215.164,705.919,46
294,154336,21.88,71.384,98774,214.546,703.890,47
295,154857,21.87,71.366,98764,215.405,706.708,47
296,155378,21.87,71.366,98770,214.924,705.130,47
297,155899,21.87,71.366,98770,214.924,705.130,46
298,156421,21.87,71.366,98767,215.164,705.919,47
299,156942,21.87,71.366,98770,214.924,702.772,47
300,157463,21.88,71.384,98768,215.095,702.538,47
301,157984,21.88,71.384,98779,214.615,704.116,47
302,158509,21.88,71.384,98773,214.615,704.116,47
303,159029,21.87,71.366,98767,215.164,705.919,47
304,159550,21.87,71.366,98766,215.233,704.567,47
305,160071,21.87,71.366,98767,215.164,704.341,47
306,160592,21.88,71.384,98768,215.027,705.468,47
307,161114,21.88,71.384,98774,214.546,703.890,47
308,161635,21.87,71.384,98780,214.068,702.321,47
309,162156,21.88,71.402,98764,215.436,706.812,47
310,162677,21.88,71.384,98773,214.615,704.116,47
311,163198,21.88,71.384,98771,214.786,704.679,47
312,163719,21.88,71.384,98770,214.615,704.116,47
313,164243,21.88,71.384,98768,215.095,705.694,47
314,164764,21.88,71.384,98776,214.374,703.327,47
315,165285,21.89,71.402,98769,214.958,705.243,47
316,165807,21.89,71.402,98781,213.927,701.862,47
317,166328,21.89,71.402,98773,214.649,703.440,47
318,166849,21.88,71.384,98773,214.615,704.116,47
319,167370,21.88,71.384,98768,214.786,704.679,47
320,167890,21.87,71.366,98767,214.683,704.341,46
321,168412,21.89,71.402,98776,214.408,703.440,47
322,168933,21.89,71.384,98768,215.027,705.468,47
323,169457,21.89,71.402,98770,214.889,701.862,47
324,169978,21.89,71.402,98770,214.889,706.595,47
325,170500,21.88,71.384,98771,215.027,705.468,47
326,171020,21.89,71.402,98770,214.889,705.017,47
327,171541,21.89,71.402,98767,215.130,705.806,47
328,172062,21.90,71.420,98774,214.511,703.778,47
329,172583,21.89,71.402,98770,214.889,705.017,47
330,173105,21.89,71.402,98769,214.958,705.243,47
331,173625,21.90,71.420,98771,214.821,704.792,47
332,174146,21.90,71.420,98769,214.992,704.567,47
333,174686,21.90,71.420,98782,213.861,701.645,47
334,175207,21.90,71.420,98771,214.821,704.792,47
335,175728,21.90,71.402,98770,214.889,705.017,47
336,176249,21.90,71.420,98774,214.511,703.778,47
337,176770,21.91,71.438,98768,215.098,705.702,47
338,177291,21.91,71.438,98772,214.683,702.763,47
339,177812,21.91,71.438,98779,214.136,702.547,47
340,178333,21.91,71.438,98770,214.858,705.702,47
341,178853,21.90,71.420,98763,214.992,705.356,47
342,179375,21.91,71.438,98768,215.336,706.482,47
343,179894,21.91,71.438,98772,214.683,704.341,47
344,180414,21.92,71.456,98780,214.480,703.674,47
345,180935,21.91,71.438,98773,214.617,704.125,47
346,181456,21.91,71.438,98773,214.617,704.125,46
347,181978,21.91,71.438,98773,214.617,704.125,46
348,182498,21.91,71.438,98773,214.617,704.125,46
349,183019,21.91,71.438,98773,214.617,704.125,47
350,183540,21.92,71.456,98766,215.198,706.032,47
351,184060,21.92,71.456,98775,214.480,703.674,47
352,184582,21.91,71.438,98768,215.098,704.125,47
353,185103,21.92,71.456,98768,215.027,705.468,47
354,185626,21.92,71.474,98774,214.583,704.012,47
355,186147,21.93,71.474,98776,214.408,703.440,47
356,186669,21.92,71.456,98775,214.480,703.674,47
357,187189,21.93,71.474,98774,214.583,704.012,47
358,187710,21.93,71.474,98771,214.821,704.792,47
359,188231,21.93,71.474,98770,214.889,706.595,47
360,188751,21.92,71.456,98772,214.718,706.821,47
361,189273,21.95,71.510,98770,214.136,702.547,47
362,189794,21.94,71.492,98772,214.683,704.341,47
363,190315,21.95,71.510,98773,214.617,704.125,47
364,190839,21.94,71.492,98772,214.683,704.341,47
365,191360,21.94,71.492,98772,214.683,704.341,47
366,191881,21.95,71.510,98773,214.617,703.336,47
367,192402,21.95,71.510,98776,214.617,704.125,47
368,192923,21.95,71.510,98774,214.548,703.899,47
369,193444,21.95,71.510,98773,214.617,704.125,47
370,193966,21.95,71.510,98774,214.548,703.899,47
371,194487,21.95,71.510,98768,215.029,705.477,47
372,195007,21.95,71.510,98774,214.548,703.899,47
373,195528,21.96,71.528,98769,214.958,704.454,47
374,196052,21.96,71.528,98770,214.892,705.026,47
375,196574,21.96,71.546,98769,214.992,705.356,47
376,197095,21.97,71.546,98776,214.340,703.214,47
377,197616,21.97,71.546,98772,214.755,704.575,47
378,198136,21.97,71.546,98777,214.274,704.575,47
379,198658,21.97,71.546,98777,214.274,702.997,47
380,199179,21.96,71.528,98773,214.892,705.026,47
381,199700,21.97,71.546,98771,214.821,704.792,47
382,200220,21.96,71.528,98776,214.411,703.448,47
383,200741,21.98,71.546,98774,214.514,703.786,47
384,201266,21.97,71.546,98769,214.992,703.786,47
385,201787,21.97,71.546,98772,214.755,704.575,46
386,202308,21.97,71.546,98771,214.340,703.214,46
387,202829,21.96,71.528,98776,214.411,703.448,46
388,203350,21.96,71.528,98776,214.411,703.448,46
389,203871,21.97,71.546,98772,214.755,704.575,46
390,204392,21.97,71.546,98772,214.755,704.575,46
391,204913,21.97,71.546,98774,214.580,704.003,46
392,205434,21.96,71.528,98770,214.892,703.448,46
393,205956,21.97,71.546,98772,214.755,702.997,46
394,206477,21.96,71.546,98772,214.755,704.575,46
395,207001,21.96,71.528,98770,214.892,705.026,46
396,207521,21.96,71.528,98776,214.411,703.448,46
397,208043,21.97,71.546,98776,214.340,704.792,46
398,208564,21.96,71.528,98767,215.132,705.026,46
399,209085,21.96,71.528,98773,214.411,703.448,46
400,209606,21.96,71.528,98776,214.892,705.026,46
401,210127,21.95,71.510,98774,214.548,703.899,46
402,210649,21.96,71.528,98772,214.718,704.454,46
403,211169,21.95,71.510,98766,215.270,706.266,46
404,211690,21.95,71.510,98774,214.548,703.899,46
405,212214,21.95,71.510,98774,214.789,704.688,46
406,212736,21.95,71.510,98773,214.617,704.125,46
407,213257,21.95,71.510,98768,215.029,705.477,46
408,213777,21.94,71.510,98771,214.789,704.688,46
409,214298,21.95,71.510,98770,214.858,704.913,46
410,214819,21.96,71.528,98769,214.958,705.243,46
411,215341,21.95,71.510,98766,215.270,706.266,46
412,215861,21.94,71.492,98772,214.683,703.552,46
413,216382,21.95,71.510,98768,215.095,707.271,46
414,216903,21.94,71.492,98772,215.164,705.919,46
415,217427,21.95,71.510,98766,215.270,706.266,46
416,217949,21.94,71.492,98772,214.683,704.341,46
417,218469,21.95,71.510,98771,214.789,704.688,46
418,218990,21.96,71.528,98769,214.958,705.243,46
419,219511,21.95,71.510,98773,214.617,703.336,46
420,220033,21.95,71.510,98766,215.508,707.046,46
421,220553,21.95,71.510,98770,215.095,705.694,46
422,221074,21.95,71.510,98768,215.029,705.477,46
423,221595,21.96,71.510,98768,215.029,705.477,46
424,222116,21.96,71.510,98768,215.029,705.477,46
425,222641,21.96,71.528,98764,215.373,704.237,47
426,223161,21.96,71.528,98770,214.411,703.448,46
427,223682,21.96,71.528,98770,214.892,705.026,47
428,224203,21.96,71.528,98764,215.373,706.604,46
429,224724,21.96,71.528,98773,214.651,704.237,46
430,225246,21.96,71.528,98770,214.892,705.026,47
431,225767,21.97,71.546,98771,214.821,704.792,47
432,226288,21.96,71.528,98767,215.132,705.815,47
433,226809,21.96,71.528,98767,215.132,706.604,47
434,227331,21.96,71.528,98769,215.198,706.032,47
435,227851,21.97,71.546,98766,215.233,706.144,47
436,228375,21.96,71.528,98764,215.373,706.604,47
437,228896,21.96,71.528,98770,214.892,706.604,47
438,229417,21.97,71.546,98769,214.992,706.144,47
439,229939,21.98,71.564,98773,214.617,704.125,47
440,230460,21.98,71.564,98768,215.095,705.694,47
441,230981,21.98,71.564,98779,214.136,702.547,47
442,231502,21.99,71.546,98772,214.755,704.575,47
443,232024,21.98,71.564,98770,214.855,704.905,47
444,232545,21.98,71.564,98768,215.095,705.694,47
445,233065,21.99,71.582,98766,215.270,706.266,47
446,233589,21.99,71.582,98772,214.720,704.463,47
447,234110,22.00,71.582,98769,214.961,705.251,47
448,234632,21.99,71.582,98769,214.961,705.251,47
449,235153,22.00,71.600,98776,214.342,703.223,47
450,235674,21.99,71.582,98772,214.720,705.251,47
451,236195,21.98,71.564,98779,214.136,704.905,47
452,236717,21.99,71.582,98763,215.508,707.046,47
453,237237,21.99,71.582,98766,214.961,705.251,47
454,237758,22.00,71.600,98765,215.304,706.378,47
455,238279,22.00,71.600,98776,214.342,703.223,47
456,238803,22.01,71.618,98770,214.926,703.561,47
457,239325,22.02,71.636,98774,214.548,703.899,47
458,239846,22.01,71.618,98772,215.167,705.928,47
459,240367,22.02,71.636,98768,215.027,705.468,47
460,240888,22.02,71.636,98775,214.480,703.674,47
461,241410,22.02,71.636,98768,215.027,705.468,47
462,241930,22.03,71.654,98773,214.654,704.246,47
463,242451,22.03,71.654,98770,214.895,705.035,47
464,242972,22.03,71.654,98776,214.414,703.457,47
465,243493,22.02,71.636,98772,214.720,705.251,47
466,244018,22.03,71.654,98767,215.132,705.815,47
467,244539,22.03,71.654,98776,214.414,703.457,47
468,245060,22.04,71.672,98766,215.235,706.153,47
469,245581,22.04,71.672,98766,215.235,706.153,47
470,246103,22.04,71.672,98772,214.755,704.575,47
471,246624,22.04,71.672,98769,214.995,704.575,47
472,247144,22.04,71.672,98777,214.276,704.575,47
473,247665,22.04,71.672,98777,214.755,704.575,47
474,248186,22.04,71.672,98772,214.755,704.575,47
475,248708,22.04,71.672,98769,214.995,705.364,47
476,249229,22.04,71.672,98770,214.929,704.359,47
477,249753,22.05,71.690,98774,214.551,704.697,47
478,250274,22.05,71.690,98774,214.551,703.908,46
479,250796,22.07,71.726,98776,214.585,704.020,47
480,251316,22.06,71.708,98769,214.961,705.251,47
481,251837,22.06,71.690,98765,215.338,706.491,47
482,252358,22.07,71.726,98771,214.826,704.809,47
483,252879,22.07,71.726,98774,214.585,704.020,47
484,253401,22.07,71.726,98776,214.345,703.232,46
485,253922,22.07,71.726,98771,214.826,705.598,47
486,254443,22.07,71.726,98783,213.795,701.428,47
487,254967,22.08,71.726,98772,214.755,704.575,47
488,255488,22.08,71.744,98778,214.208,702.781,46
489,256009,22.08,71.744,98773,214.620,704.133,46
490,256530,22.08,71.744,98770,214.860,704.922,47
491,257051,22.08,71.744,98770,214.860,704.922,47
492,257571,22.09,71.762,98774,214.551,703.908,47
493,258093,22.09,71.762,98774,214.551,702.330,47
494,258614,22.09,71.762,98780,214.001,702.893,47
495,259135,22.09,71.762,98775,214.482,703.682,47
496,259656,22.10,71.780,98776,214.345,703.232,47
497,260180,22.10,71.780,98773,214.654,704.246,47
498,260702,22.10,71.780,98771,214.826,704.809,47
499,261223,22.11,71.798,98778,214.208,702.781,47
500,261743,22.12,71.816,98779,214.860,704.922,47
501,262264,22.11,71.798,98770,215.169,705.936,47
502,262786,22.11,71.798,98772,214.757,704.584,47
503,263307,22.11,71.798,98772,214.757,704.584,48
504,263828,22.12,71.798,98772,214.757,704.584,47
505,264348,22.12,71.816,98768,215.032,705.486,47
506,264869,22.11,71.798,98772,214.757,704.584,47
507,265394,22.12,71.816,98773,214.142,702.564,47
508,265915,22.11,71.798,98772,214.757,704.584,48
509,266436,22.11,71.798,98775,214.448,703.570,49
510,266956,22.11,71.816,98770,214.860,704.922,49
511,267478,22.12,71.816,98768,215.101,705.711,49
512,267999,22.12,71.816,98773,214.620,704.133,49
513,268520,22.12,71.816,98768,215.101,705.711,48
514,269041,22.12,71.816,98768,215.101,704.922,48
515,269562,22.12,71.816,98765,215.341,705.711,48
516,270084,22.12,71.816,98773,215.101,705.711,48
517,270605,22.12,71.816,98768,215.032,705.486,48
518,271128,22.13,71.834,98769,214.963,705.260,47
519,271649,22.14,71.852,98771,214.826,704.809,48
520,272171,22.13,71.834,98770,214.895,704.255,48
521,272692,22.14,71.852,98776,214.345,705.598,48
522,273213,22.14,71.852,98782,215.066,705.598,48
523,273734,22.15,71.870,98772,214.451,703.578,48
524,274255,22.14,71.852,98774,214.585,704.020,48
525,274776,22.15,71.870,98778,214.210,702.789,48
526,275297,22.15,71.852,98768,215.066,705.598,48
527,275818,22.15,71.870,98772,214.691,702.789,47
528,276342,22.15,71.870,98772,214.691,706.725,48
529,276869,22.14,71.852,98772,214.757,704.584,47
530,277390,22.16,71.888,98774,214.551,703.908,47
531,277911,22.16,71.888,98774,214.551,703.908,47
532,278431,22.19,71.942,98782,213.904,701.784,47
533,278952,22.16,71.888,98771,214.551,703.908,47
