SampleNumber,Time(ms),T(deg C),T(deg F),P(Pa),Alt(m),Alt(ft),%RH
16,8415,22.33,72.194,98773,214.622,704.142,46
17,8936,22.32,72.176,98774,214.519,703.804,46
18,9456,22.32,72.176,98766,215.241,706.170,46
19,9980,22.33,72.194,98773,214.622,704.142,46
20,10501,22.32,72.176,98766,215.241,706.170,46
21,11021,22.32,72.176,98769,214.934,705.165,46
22,11542,22.33,72.194,98768,215.035,703.925,46
23,12062,22.32,72.176,98766,215.241,705.381,46
24,12583,22.33,72.194,98767,215.103,704.142,46
25,13104,22.33,72.194,98762,215.584,705.720,46
26,13624,22.33,72.194,98767,215.103,704.142,46
27,14145,22.35,72.230,98771,214.831,704.827,46
28,14665,22.34,72.212,98775,214.969,705.277,46
29,15186,22.32,72.176,98769,215.175,705.954,46
30,15710,22.34,72.230,98771,214.831,704.827,45
31,16230,22.34,72.248,98769,214.934,705.165,45
32,16751,22.34,72.212,98769,214.969,705.277,46
33,17271,22.33,72.194,98765,215.278,706.292,45
34,17792,22.34,72.212,98773,214.659,704.263,45
35,18313,22.35,72.230,98765,215.312,706.404,45
36,18833,22.35,72.230,98777,214.282,703.024,45
37,19353,22.35,72.230,98777,214.282,703.024,46
38,19874,22.35,72.230,98776,214.350,703.249,45
39,20395,22.34,72.212,98770,214.900,705.052,45
40,20915,22.35,72.230,98771,215.072,705.616,45
41,21439,22.34,72.212,98770,215.140,705.841,45
42,21959,22.35,72.230,98771,214.350,703.249,45
43,22479,22.36,72.248,98772,214.213,702.798,45
44,23001,22.35,72.230,98774,214.591,704.038,46
45,23521,22.35,72.230,98771,214.831,704.827,45
46,24041,22.36,72.248,98772,214.694,704.376,46
47,24562,22.35,72.230,98772,214.760,704.593,45
48,25082,22.36,72.248,98767,215.106,705.728,46
49,25603,22.36,72.248,98772,214.694,704.376,46
50,26124,22.36,72.248,98769,214.934,705.165,46
51,26644,22.36,72.248,98767,215.175,705.954,46
52,27168,22.37,72.266,98774,214.556,705.503,46
53,27688,22.36,72.248,98767,215.175,705.954,46
54,28209,22.37,72.266,98768,215.037,703.925,45
55,28730,22.37,72.266,98772,214.728,705.277,46
56,29250,22.37,72.266,98771,214.797,705.503,46
57,29771,22.37,72.266,98778,214.250,703.700,46
58,30291,22.37,72.266,98768,215.037,705.503,45
59,30813,22.37,72.266,98774,215.518,707.081,45
60,31333,22.38,72.284,98776,214.422,703.483,46
61,31859,22.38,72.284,98773,214.662,701.905,45
62,32382,22.38,72.284,98773,214.422,703.483,45
63,32904,22.37,72.266,98775,214.488,703.700,45
64,33424,22.38,72.284,98770,214.903,705.061,46
65,33944,22.39,72.302,98771,214.765,704.610,45
66,34465,22.39,72.302,98777,214.284,703.032,45
67,34985,22.38,72.284,98773,214.662,704.272,46
68,35507,22.39,72.302,98771,214.765,704.610,45
69,36027,22.40,72.302,98771,214.765,704.610,45
70,36548,22.39,72.302,98774,214.522,703.812,46
71,37068,22.40,72.320,98773,214.628,704.159,45
72,37590,22.40,72.320,98773,214.628,703.370,46
73,38113,22.40,72.320,98779,214.147,704.939,46
74,38633,22.40,72.320,98770,214.866,704.159,46
75,39154,22.40,72.320,98770,214.866,705.728,45
76,39674,22.40,72.320,98773,214.628,702.581,46
77,40196,22.40,72.320,98777,214.559,703.934,46
78,40716,22.40,72.320,98776,214.628,704.159,46
79,41237,22.40,72.320,98774,214.078,702.356,46
80,41757,22.41,72.338,98780,214.250,702.919,46
81,42278,22.41,72.338,98775,214.488,703.700,46
82,42799,22.42,72.356,98771,214.834,704.835,45
83,43319,22.41,72.338,98772,214.728,704.489,46
84,43843,22.41,72.338,98772,214.728,704.489,46
85,44363,22.42,72.356,98776,214.353,703.258,46
86,44884,22.41,72.338,98770,214.903,705.061,45
87,45405,22.42,72.356,98776,214.353,703.258,45
88,45926,22.42,72.356,98771,214.765,704.610,45
89,46446,22.42,72.356,98773,214.593,704.046,45
90,46967,22.42,72.356,98771,214.834,701.688,45
91,47488,22.43,72.374,98772,214.696,705.173,45
92,48009,22.42,72.356,98771,214.765,704.610,45
93,48529,22.43,72.374,98781,213.975,705.173,46
94,49053,22.44,72.392,98774,214.559,703.934,45
95,49573,22.43,72.374,98772,214.696,704.385,45
96,50094,22.44,72.392,98768,215.040,705.512,45
97,50615,22.43,72.374,98778,214.216,702.807,45
98,51135,22.45,72.410,98773,214.662,704.272,45
99,51656,22.45,72.410,98776,214.422,703.483,46
100,52176,22.44,72.392,98768,215.040,705.512,45
101,52698,22.44,72.374,98772,214.696,704.385,45
102,53218,22.44,72.392,98780,214.078,702.356,45
103,53739,22.44,72.410,98770,214.903,705.061,45
104,54259,22.44,72.392,98774,214.559,705.512,45
105,54784,22.45,72.410,98773,214.593,704.046,45
106,55304,22.45,72.410,98781,213.941,703.483,45
107,55824,22.44,72.392,98777,214.319,704.723,45
108,56345,22.46,72.428,98774,214.527,703.830,45
109,56865,22.46,72.428,98771,214.768,703.041,45
110,57387,22.46,72.428,98780,214.768,704.619,45
SampleNumber,Time(ms),T(deg C),T(deg F),P(Pa),Alt(m),Alt(ft),%RH
0,83,22.47,72.446,98780,214.081,702.365,45
1,604,22.36,72.248,98775,214.453,704.376,45
2,1125,22.45,72.410,98773,214.662,705.061,45
3,1649,22.48,72.446,98773,214.630,704.168,45
4,2169,22.48,72.464,98769,214.971,705.286,45
5,2691,22.49,72.482,98771,214.836,704.844,45
6,3211,22.48,72.464,98769,214.971,705.286,45
7,3732,22.48,72.464,98780,214.012,702.139,45
8,4252,22.49,72.482,98771,214.768,704.619,46
9,4773,22.50,72.500,98778,214.218,702.815,46
10,5294,22.49,72.482,98782,213.875,701.688,46
11,5815,22.49,72.482,98773,214.596,704.055,46
12,6335,22.50,72.500,98775,214.459,703.604,46
13,6856,22.48,72.464,98772,214.733,704.506,46
14,7380,22.48,72.464,98775,214.493,703.717,45
15,7901,22.48,72.464,98769,214.971,705.286,46
16,8422,22.47,72.446,98773,214.630,704.168,45
17,8942,22.48,72.464,98775,214.493,703.717,45
18,9462,22.48,72.464,98769,214.971,705.286,45
19,9984,22.48,72.464,98775,214.493,703.717,45
20,10504,22.48,72.464,98769,214.971,705.286,45
21,11025,22.48,72.464,98775,214.424,703.492,45
22,11545,22.49,72.464,98775,214.424,703.492,45
23,12066,22.50,72.500,98772,214.699,704.393,45
24,12587,22.49,72.482,98771,214.836,704.844,45
25,13111,22.49,72.482,98771,214.768,703.041,45
26,13631,22.50,72.500,98767,215.180,704.393,45
27,14152,22.49,72.482,98773,214.836,704.844,45
28,14672,22.49,72.482,98771,214.287,703.041,45
29,15194,22.49,72.482,98776,214.596,704.055,45
30,15715,22.50,72.500,98778,214.218,702.815,45
31,16235,22.49,72.482,98774,214.527,703.830,45
32,16756,22.51,72.518,98777,214.321,703.154,46
33,17277,22.50,72.500,98767,215.111,705.746,46
SampleNumber,Time(ms),T(deg C),T(deg F),P(Pa),Alt(m),Alt(ft),%RH
0,87,22.52,72.536,98771,214.839,704.853,46
1,607,22.53,72.554,98771,214.768,704.619,47
2,1128,22.55,72.590,98775,214.496,703.726,46
3,1648,22.54,72.572,98779,214.152,702.599,46
4,2169,22.54,72.572,98776,214.393,703.388,46
5,2690,22.53,72.572,98779,214.152,702.599,46
6,3211,22.54,72.572,98768,215.045,705.529,46
7,3731,22.54,72.554,98772,214.702,704.402,46
8,4252,22.54,72.590,98772,214.736,704.515,46
9,4772,22.55,72.590,98763,215.457,706.881,46
10,5294,22.54,72.572,98776,214.393,703.388,46
11,5817,22.54,72.572,98774,214.564,705.529,46
12,6338,22.54,72.572,98765,215.283,703.951,46
13,6858,22.53,72.554,98764,214.942,705.191,45
14,7379,22.54,72.572,98767,215.114,705.754,45
15,7900,22.54,72.572,98767,215.114,705.754,45
16,8421,22.54,72.572,98773,214.633,704.177,45
17,8942,22.53,72.554,98772,214.702,704.402,45
18,9463,22.52,72.536,98770,214.905,705.069,45
19,9984,22.51,72.518,98780,214.015,702.148,45
20,10505,22.51,72.518,98769,214.977,705.303,45
21,11025,22.52,72.518,98774,214.562,703.942,45
22,11549,22.52,72.536,98775,214.424,702.703,45
23,12070,22.51,72.518,98768,215.043,705.520,45
24,12591,22.51,72.518,98774,215.523,707.098,45
25,13112,22.51,72.518,98769,214.496,703.726,45
26,13633,22.50,72.500,98773,215.111,705.746,45
27,14153,22.51,72.518,98768,215.043,705.520,45
28,14674,22.51,72.518,98771,214.802,704.731,45
29,15196,22.50,72.500,98772,214.699,704.393,45
30,15716,22.51,72.518,98775,214.496,703.726,45
31,16237,22.51,72.518,98775,214.496,703.726,45
32,16758,22.51,72.518,98780,214.081,703.154,45
33,17283,22.50,72.500,98773,214.630,704.168,45
34,17803,22.51,72.518,98774,215.043,705.520,45
35,18324,22.51,72.518,98780,214.321,703.154,45
36,18845,22.50,72.500,98776,214.390,703.379,45
37,19366,22.50,72.500,98776,214.390,703.379,45
38,19887,22.51,72.518,98774,214.562,703.942,45
39,20408,22.51,72.500,98775,214.459,703.604,45
40,20929,22.50,72.500,98772,214.699,704.393,45
41,21450,22.51,72.518,98771,214.802,704.731,45
42,21970,22.50,72.500,98779,214.149,702.590,45
43,22492,22.50,72.500,98773,214.630,704.168,45
44,23016,22.51,72.518,98771,214.321,703.154,45
45,23537,22.50,72.500,98772,214.699,704.393,45
46,24057,22.51,72.518,98775,214.496,703.726,45
47,24579,22.51,72.518,98780,214.081,702.365,45
48,25100,22.50,72.500,98772,214.699,704.393,45
49,25620,22.49,72.482,98776,214.356,703.266,45
50,26141,22.49,72.482,98773,214.596,704.055,45
51,26662,22.47,72.446,98774,214.562,703.942,45
52,27183,22.47,72.446,98780,214.081,702.365,45
53,27704,22.47,72.446,98773,214.630,704.168,45
54,28228,22.46,72.428,98778,214.216,702.807,45
55,28748,22.46,72.428,98775,214.456,703.596,45
56,29270,22.46,72.428,98771,214.768,704.619,45
57,29791,22.46,72.410,98776,214.356,703.266,45
58,30311,22.46,72.428,98771,214.768,704.619,45
59,30832,22.44,72.374,98773,214.630,704.168,44
60,31353,22.44,72.392,98774,214.559,703.934,45
61,31874,22.45,72.410,98778,214.181,702.694,44
62,32395,22.43,72.374,98773,214.630,704.168,45
63,32915,22.44,72.392,98777,214.319,703.145,45
64,33436,22.43,72.374,98775,214.696,704.385,45
65,33960,22.43,72.374,98773,214.630,704.168,45
66,34482,22.43,72.356,98776,214.353,703.258,44
67,35002,22.41,72.338,98773,214.662,704.272,45
68,35523,22.41,72.338,98776,214.422,703.483,45
69,36044,22.41,72.338,98776,214.422,703.483,45
70,36564,22.43,72.374,98778,214.216,702.807,45
71,37086,22.41,72.338,98776,214.422,703.483,45
72,37607,22.40,72.320,98771,214.799,704.723,45
73,38127,22.40,72.320,98767,215.106,704.939,45
74,38648,22.39,72.302,98769,215.003,704.610,45
75,39169,22.39,72.320,98776,214.387,703.370,45
76,39693,22.40,72.302,98777,214.284,703.032,45
77,40214,22.40,72.320,98779,214.147,702.581,45
78,40735,22.39,72.302,98771,214.765,704.610,45
79,41255,22.38,72.284,98778,214.181,702.694,45
80,41777,22.38,72.284,98770,214.903,705.061,45
81,42298,22.37,72.266,98772,214.728,702.919,45
82,42819,22.37,72.266,98768,215.037,706.292,45
83,43339,22.37,72.266,98775,214.488,704.489,45
84,43860,22.36,72.248,98773,214.147,702.581,45
85,44382,22.36,72.248,98776,214.147,702.581,45
86,44906,22.36,72.248,98775,214.453,703.587,45
87,45426,22.36,72.248,98776,214.387,703.370,45
88,45947,22.37,72.266,98780,214.075,702.347,45
89,46469,22.36,72.248,98772,214.694,702.798,45
90,46990,22.36,72.248,98773,214.625,702.581,45
91,47511,22.36,72.248,98772,214.694,704.376,45
92,48031,22.35,72.230,98771,214.831,704.827,45
93,48552,22.36,72.248,98772,214.694,704.376,45
94,49074,22.34,72.212,98772,214.728,704.489,45
95,49595,22.35,72.230,98774,214.591,704.038,45
96,50115,22.35,72.212,98770,214.900,705.052,45
97,50639,22.35,72.230,98779,214.110,705.616,45
98,51161,22.34,72.212,98773,214.659,705.052,45
99,51682,22.34,72.212,98775,214.488,703.700,45
100,52203,22.33,72.194,98773,214.622,704.142,45
101,52723,22.33,72.194,98773,214.142,702.564,45
